"pop","author","genus","species","class","referenced","Ocean","num_individuals","gene_diversity","allelic_richness","global_fst","Ne","long","lat","hupopdens25km","hupopdens50km","hupopdens100km","hupopdens200km","impacts25km","impacts50km","impacts100km","impacts200km"
"Almojil1_Bahrain","Almojil","Carcharhinus","Limbatus","Chondrichthyes","georeferenced QGIS","Indian",12,0.689276546456298,4.63323470451403,0.00335763302644487,52.5,4032392.72505974,3978993.10512902,NA,1566.05561775007,621.437837174056,156.223088571764,1.95427197586521,2.47011151956574,2.8974110987812,2.63388777242266
"Almojil1_Kuwait","Almojil","Carcharhinus","Limbatus","Chondrichthyes","georeferenced QGIS","Indian",12,0.677933779948243,4.61296896832085,0.0145080339369283,NA,3853662.71926871,4311943.99928538,102.733467102051,100.503302454324,218.122175177618,63.9055315007747,2.95439499674543,3.29941687732309,2.59921430937467,1.85781406269285
"Almojil1_Oman","Almojil","Carcharhinus","Limbatus","Chondrichthyes","georeferenced QGIS","Indian",90,0.69801480159961,4.3668085341752,0.0285582421026697,2485.6,4765187.32573966,3358192.68863924,NA,NA,17.1368019084212,10.6307923613023,4.24572958897722,4.25970523530624,3.63680427104543,3.18848634311496
"Almojil1_Pakistan","Almojil","Carcharhinus","Limbatus","Chondrichthyes","georeferenced QGIS","Indian",57,0.698248000591954,4.29573602930616,0.0250160732909069,65.1,5256694.84166499,3658266.80422759,NA,NA,260.63932135967,444.249414866401,4.98011959999694,4.87116211561867,4.03084072999918,3.13443139639106
"Almojil1_SaudiArabia","Almojil","Carcharhinus","Limbatus","Chondrichthyes","georeferenced QGIS","Indian",91,0.699072522849123,4.21998207918627,0.0271261884870359,142.6,3299598.12437982,2715753.95957823,38.9250058081333,43.9743925526042,54.2633061560474,57.8797098542239,2.4546770227962,1.64258141460616,1.37138907793759,1.64944377032412
"Almojil1_SouthAfrica","Almojil","Carcharhinus","Limbatus","Chondrichthyes","georeferenced QGIS","Indian",93,0.703225371273357,4.2426809703811,0.0214561974091244,193.9,2513187.67583599,-4857480.32117079,NA,NA,NA,NA,4.22899977323969,4.21609802731985,4.2011209712477,4.19794577873871
"Almojil1_UAE","Almojil","Carcharhinus","Limbatus","Chondrichthyes","georeferenced QGIS","Indian",85,0.705024446916886,4.37234073514906,0.0183783499162026,259,4255805.23229853,3761081.58549148,25.2152059343126,25.2152057127519,81.7415160618723,94.3061729700527,2.28803676092762,2.42553957598293,2.45372166063013,2.13191111785554
"Almojil1_Yemen","Almojil","Carcharhinus","Limbatus","Chondrichthyes","georeferenced QGIS","Indian",85,0.669400223464117,4.05603068048427,0.0678997851007691,382.1,4121757.72795525,2274843.09573007,NA,NA,NA,7.19647119092581,3.25015012974556,3.3614229584498,3.52936608878311,3.226341587722
"Almojil2_Bahrain","Almojil","Carcharhinus","Sorrah","Chondrichthyes","georeferenced QGIS","Indian",51,0.656907261647915,4.03860908127283,0.0346373586379816,NA,3978776.87719583,3905923.15503429,273.226360811649,441.277556304346,199.393929811493,91.5091682714877,1.98897466763183,1.66553768469302,1.17555690393382,1.53146803333707
"Almojil2_Oman","Almojil","Carcharhinus","Sorrah","Chondrichthyes","georeferenced QGIS","Indian",87,0.668827962458143,4.13915316865124,0.0211440986150967,1013.1,4684763.5539438,2939018.59508852,NA,NA,NA,1.71592996308247,4.06464069763574,4.10474007840188,4.1183506543953,3.60551768209025
"Almojil2_UAE","Almojil","Carcharhinus","Sorrah","Chondrichthyes","georeferenced QGIS","Indian",96,0.686739046051508,4.18583385193365,-0.00447333517822646,5476.2,4221471.61449736,3662285.06021537,25.2152063785695,25.2152064505881,25.1843973027029,40.8425461982145,2.01945267607841,1.57385348568393,1.28782217982225,1.02732933285295
"Almojil2_Yemen","Almojil","Carcharhinus","Sorrah","Chondrichthyes","georeferenced QGIS","Indian",93,0.695354267825874,4.23080441005225,-0.0172423795549133,591.3,3943027.72216422,2125098.07787757,NA,NA,NA,28.7279628009481,4.00805469453993,3.88494943840635,3.84501093898855,3.4199173132394
"Als1_Adour","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",119,0.797878837851494,6.11193281479534,-0.00345659965024114,NA,-124840.82220585,6170152.9730121,345.646836929828,207.269022756789,113.276538989985,86.236078823352,2.48949360650624,1.96314891888124,1.56215678492435,1.31369694495456
"Als1_Belgium","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",51,0.795877296277989,6.10134405477055,-0.00660697947568933,313.2,212413.925671023,6987194.59943275,303.419774860225,323.096284058017,369.222508762828,345.638967245245,2.4929735005547,2.28704099182589,2.13357156657948,1.71009454941346
"Als1_Canet","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",50,0.782085714285714,6.06225017316438,0.0106489810324081,190.2,240245.754603506,6080239.59919639,361.138122034604,123.584989640459,99.6178849969445,173.190181917893,2.41055996106474,2.14918503442445,1.87477963061398,1.73539869374335
"Als1_Iceland","Als","Anguilla","Anguilla","Actinopteryggi","coordinates from raw data","Atlantic",55,0.79210614589698,6.072338137939,-0.00118223576260479,2429.3,-1751502.1755346,8084071.24449877,77.6680655011213,63.8828997528857,23.0385643072213,8.79311622328876,3.39481839614262,2.72932119377297,2.9199300720128,3.4070760100644
